slot_label,recording_id,claimed_stem,status,local_vocals,local_track,action
004w1,2p25k23p,acappella,satisfied,,,promoted_demucs_vocals
004w3,1b4hd9lp,acappella,satisfied,,,promoted_demucs_vocals
005w4,1v0zv1s5,acappella,satisfied,,,promoted_demucs_vocals
011w2,1znyu24x,acappella,satisfied,,,promoted_demucs_vocals
014w2,1jny6u9f,acappella,satisfied,,,promoted_demucs_vocals
014w3,ygllqp,acappella,satisfied,,,promoted_demucs_vocals
015w1,dgrjwux,acappella,satisfied,,,promoted_demucs_vocals
017w2,1gv9w2px,acappella,satisfied,,,promoted_demucs_vocals
020w1,21kvmkk5,acappella,satisfied,,,promoted_demucs_vocals
020w3,jwwcskx,acappella,satisfied,,,promoted_demucs_vocals
023w3,2tscznp5,acappella,satisfied,,,promoted_demucs_vocals
024w1,tlp2852991,acappella,satisfied,,,promoted_demucs_vocals
026w1,tlp2852999,acappella,satisfied,,,promoted_demucs_vocals
028w1,tlp2853006,acappella,satisfied,,,promoted_demucs_vocals
035w2,dkg1c995,acappella,satisfied,,,promoted_demucs_vocals
042w3,dgrjwux,acappella,satisfied,,,promoted_demucs_vocals
006w1,nrtk415,regular,wrong_stem,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/stems/006w1__Twenty One Pilots - Tear In My Heart/vocals.flac,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/006w1__Twenty One Pilots - Tear In My Heart.m4a,remap_gt_slot
011w1,2qy7u05p,regular,wrong_stem,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/stems/011w1__Halsey - Now Or Never/vocals.flac,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/011w1__Halsey - Now Or Never.m4a,remap_gt_slot
013w1,1t3m1kmf,regular,wrong_stem,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/stems/013w1__Chance The Rapper - No Problem/vocals.flac,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/013w1__Chance The Rapper - No Problem.m4a,remap_gt_slot
017w1,62f04m5,regular,wrong_stem,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/stems/017w1__Mike Posner - Cooler Than Me/vocals.flac,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/017w1__Mike Posner - Cooler Than Me.m4a,remap_gt_slot
018w1,4gyw2tx,regular,wrong_stem,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/stems/018w1__Hardwell - Spaceman (Carnage Festival Trap Remix)/vocals.flac,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/018w1__Hardwell - Spaceman (Carnage Festival Trap Remix).m4a,remap_gt_slot
023w1,h7fpwbf,regular,wrong_stem,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/stems/023w1__Two Friends - Emily/vocals.flac,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/023w1__Two Friends - Emily.m4a,remap_gt_slot
028,1xs1zmjp,regular,missing,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/stems/028__Osen & Navaz - Wings/vocals.flac,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/028__Osen & Navaz - Wings.m4a,replace_version
029w1,4dq3mld5,acappella,missing,,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/029w1__The Lonely Island - I Just Had Sex.m4a,acquire_acappella
032,tlp2853023,regular,missing,,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/mix_instrumental.flac,proxy_mix_instrumental
036,nu09jz5,regular,wrong_stem,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/stems/036__Curbi X Mesto - BRUH (Extended Mix)/vocals.flac,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/036__Curbi X Mesto - BRUH (Extended Mix).m4a,replace_version
037w3,fclk03p,regular,wrong_stem,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/stems/037w3__Bassjackers & Brooks - Joyride (Extended Mix)/vocals.flac,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/037w3__Bassjackers & Brooks - Joyride (Extended Mix).m4a,replace_version
039w2,tlp2853054,regular,missing,,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/140w1__Porter Robinson & Madeon - Shelter (Rvmor Remix).m4a,replace_version
041w3,tlp2853062,acappella,missing,,/Users/johnnycabrahams/aligning/1fsnxchk__Two Friends - Big Bootie Mix Volume 12/tracks/148w1__Christina Aguilera - Come On Over (All I Want Is You) (Acappella) [118bpm 5B].m4a,acquire_acappella
