slot_label,recording_id,claimed_stem,status,in_gt,local_vocals,local_track,action
003w1,10ufdgcf,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/003w1__Misterwives - Reflections (Acappella)/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/003w1__Misterwives - Reflections (Acappella) [111bpm 10B].m4a,acquire_acappella_or_demucs
003w2,2unrq2zp,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/003w2__Neiked - Sexual/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/003w2__Neiked - Sexual.m4a,acquire_acappella_or_demucs
004w1,37h72dsx,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/004w1__Good Charlotte - Girls And Boys [136bpm 5B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/004w1__Good Charlotte - Girls And Boys [136bpm 5B].m4a,replace_version
005w1,txwtmt6x,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/005w1__Ludacris - Pimpin' All Over The World/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/005w1__Ludacris - Pimpin' All Over The World.m4a,replace_version
006w2,2356hbf5,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/006w2__Men At Work - Down Under/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/006w2__Men At Work - Down Under [107bpm 11B].m4a,acquire_acappella_or_demucs
008,2dpvr4z5,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/008__Mike Williams - Bambini [128bpm 3B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/008__Mike Williams - Bambini (Extended Mix).m4a,replace_version
010w1,sjb0g6x,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/010w1__R. Kelly - I Believe I Can Fly [120bpm 8B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/010w1__R. Kelly - I Believe I Can Fly.m4a,replace_version
010w2,7w2vqqp,acappella,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/010w2__Nero - Promises (Acappella)/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/010w2__Nero - Promises (Acappella).m4a,acquire_acappella_or_demucs
011w1,1xzwwcg5,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/011w1__Semisonic - Closing Time [92bpm 9B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/011w1__Semisonic - Closing Time [92bpm 9B].m4a,replace_version
012w1,20m6km2x,regular,wrong_stem,yes,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/012w1__Vanessa Carlton - A Thousand Miles [95bpm 1B]/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/012w1__Vanessa Carlton - A Thousand Miles [95bpm 1B].m4a,replace_version
013w1,1qrzf9p,regular,wrong_stem,no,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/stems/013w1__DJ Kool - Let Me Clear My Throat/vocals.flac,/Users/johnnycabrahams/aligning/2nvzlh2k__Two Friends - Big Bootie Mix Episode 11/tracks/013w1__DJ Kool - Let Me Clear My Throat.m4a,replace_version
